,№ЭЧ,Класс_ЭЧ,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,№ВК,№СИОМ
692,6930,1,3,"Lam, Mr. Ali",male,,0,0,1601,56.4958,,S,6,930
481,4820,0,2,"Frost, Mr. Anthony Wood ""Archie""",male,,0,0,239854,0.0,,S,4,820
527,5280,0,1,"Farthing, Mr. John",male,,0,0,PC 17483,221.7792,C95,S,5,280
855,8560,1,3,"Aks, Mrs. Sam (Leah Rosen)",female,18.0,0,1,392091,9.35,,S,8,560
801,8020,1,2,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,31.0,1,1,C.A. 31921,26.25,,S,8,020
652,6530,0,3,"Kalvik, Mr. Johannes Halvorsen",male,21.0,0,0,8475,8.4333,,S,6,530
509,5100,1,3,"Lang, Mr. Fang",male,26.0,0,0,1601,56.4958,,S,5,100
557,5580,0,1,"Robbins, Mr. Victor",male,,0,0,PC 17757,227.525,,C,5,580
828,8290,1,3,"McCormack, Mr. Thomas Joseph",male,,0,0,367228,7.75,,Q,8,290
18,190,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,,S,1,90
647,6480,1,1,"Simonius-Blumer, Col. Oberst Alfons",male,56.0,0,0,13213,35.5,A26,C,6,480
402,4030,0,3,"Jussila, Miss. Mari Aina",female,21.0,1,0,4137,9.825,,S,4,030
846,8470,0,3,"Sage, Mr. Douglas Bullen",male,,8,2,CA. 2343,69.55,,S,8,470
467,4680,0,1,"Smart, Mr. John Montgomery",male,56.0,0,0,113792,26.55,,S,4,680
51,520,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,,S,5,20
412,4130,1,1,"Minahan, Miss. Daisy E",female,33.0,1,0,19928,90.0,C78,Q,4,130
421,4220,0,3,"Charters, Mr. David",male,21.0,0,0,A/5. 13032,7.7333,,Q,4,220
250,2510,0,3,"Reed, Mr. James George",male,,0,0,362316,7.25,,S,2,510
818,8190,0,3,"Holm, Mr. John Fredrik Alexander",male,43.0,0,0,C 7075,6.45,,S,8,190
409,4100,0,3,"Lefebre, Miss. Ida",female,,3,1,4133,25.4667,,S,4,100
253,2540,0,3,"Lobb, Mr. William Arthur",male,30.0,1,0,A/5. 3336,16.1,,S,2,540
218,2190,1,1,"Bazzani, Miss. Albina",female,32.0,0,0,11813,76.2917,D15,C,2,190
256,2570,1,1,"Thorne, Mrs. Gertrude Maybelle",female,,0,0,PC 17585,79.2,,C,2,570
226,2270,1,2,"Mellors, Mr. William John",male,19.0,0,0,SW/PP 751,10.5,,S,2,270
294,2950,0,3,"Mineff, Mr. Ivan",male,24.0,0,0,349233,7.8958,,S,2,950
706,7070,1,2,"Kelly, Mrs. Florence ""Fannie""",female,45.0,0,0,223596,13.5,,S,7,070
753,7540,0,3,"Jonkoff, Mr. Lalio",male,23.0,0,0,349204,7.8958,,S,7,540
197,1980,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,4579,8.4042,,S,1,980
835,8360,1,1,"Compton, Miss. Sara Rebecca",female,39.0,1,1,PC 17756,83.1583,E49,C,8,360
220,2210,1,3,"Sunderland, Mr. Victor Francis",male,16.0,0,0,SOTON/OQ 392089,8.05,,S,2,210
739,7400,0,3,"Nankoff, Mr. Minko",male,,0,0,349218,7.8958,,S,7,400
33,340,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,,S,3,40
430,4310,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0,0,110564,26.55,C52,S,4,310
150,1510,0,2,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166,12.525,,S,1,510
586,5870,0,2,"Jarvis, Mr. John Denzil",male,47.0,0,0,237565,15.0,,S,5,870
204,2050,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540,8.05,,S,2,050
344,3450,0,2,"Fox, Mr. Stanley Hubert",male,36.0,0,0,229236,13.0,,S,3,450
747,7480,1,2,"Sinkkonen, Miss. Anna",female,30.0,0,0,250648,13.0,,S,7,480
323,3240,1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,1,1,248738,29.0,,S,3,240
264,2650,0,3,"Henry, Miss. Delia",female,,0,0,382649,7.75,,Q,2,650
134,1350,0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,,S,1,350
832,8330,0,3,"Saad, Mr. Amin",male,,0,0,2671,7.2292,,C,8,330
190,1910,1,2,"Pinsky, Mrs. (Rosa)",female,32.0,0,0,234604,13.0,,S,1,910
107,1080,1,3,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S,1,080
192,1930,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,350046,7.8542,,S,1,930
449,4500,1,1,"Peuchen, Major. Arthur Godfrey",male,52.0,0,0,113786,30.5,C104,S,4,500
96,970,0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,A5,C,9,70
382,3830,0,3,"Tikkanen, Mr. Juho",male,32.0,0,0,STON/O 2. 3101293,7.925,,S,3,830
715,7160,0,3,"Soholt, Mr. Peter Andreas Lauritz Andersen",male,19.0,0,0,348124,7.65,F G73,S,7,160
364,3650,0,3,"O'Brien, Mr. Thomas",male,,1,0,370365,15.5,,Q,3,650
474,4750,0,3,"Strandberg, Miss. Ida Sofia",female,22.0,0,0,7553,9.8375,,S,4,750
434,4350,0,1,"Silvey, Mr. William Baird",male,50.0,1,0,13507,55.9,E44,S,4,350
63,640,0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,,S,6,40
763,7640,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36.0,1,2,113760,120.0,B96 B98,S,7,640
